Pressure  Temperature Adsorption
0.1       273         1.50
0.1       298         1.20
0.1       323         0.95
0.1       348         0.75
0.5       273         3.75
0.5       298         3.00
0.5       323         2.45
0.5       348         2.00
1.0       273         5.90
1.0       298         4.80
1.0       323         3.90
1.0       348         3.10
2.0       273         7.80
2.0       298         6.50
2.0       323         5.40
2.0       348         4.50
5.0       273         10.20
5.0       298         8.50
5.0       323         7.00
5.0       348         5.90
10.0      273         12.00
10.0      298         10.10
10.0      323         8.50
10.0      348         7.20
