T v u h s
Water/Steam at p = 0.01 MPa (Tsat = 45.806)
0 0.00100020 -0.04 -0.03 -0.00015
5 0.00100008 21.02 21.03 0.07625
10 0.00100034 42.02 42.03 0.15109
15 0.00100094 62.98 62.99 0.22446
20 0.00100184 83.91 83.92 0.29648
25 0.00100300 104.83 104.84 0.36722
30 0.00100441 125.73 125.74 0.43675
35 0.00100604 146.63 146.64 0.50513
40 0.00100789 167.53 167.54 0.57240
45 0.00100992 188.43 188.44 0.63861
45.806 0.00101027 191.80 191.81 0.64920
45.806 14.670 2437.2 2583.9 8.14880
50 14.867 2443.3 2592.0 8.1741
55 15.101 2450.6 2601.6 8.2036
60 15.335 2457.8 2611.2 8.2326
65 15.568 2465.0 2620.7 8.2611
70 15.801 2472.3 2630.3 8.2891
75 16.034 2479.5 2639.8 8.3167
80 16.267 2486.6 2649.3 8.3439
85 16.500 2493.9 2658.9 8.3707
90 16.732 2501.1 2668.4 8.3971
95 16.964 2508.3 2677.9 8.4232
100 17.196 2515.5 2687.5 8.4489
105 17.428 2522.7 2697.0 8.4742
110 17.660 2529.9 2706.5 8.4993
115 17.892 2537.2 2716.1 8.5240
120 18.124 2544.4 2725.6 8.5484
125 18.356 2551.6 2735.2 8.5726
130 18.587 2558.8 2744.7 8.5964
135 18.819 2566.1 2754.3 8.6200
140 19.050 2573.4 2763.9 8.6434
145 19.282 2580.6 2773.4 8.6664
150 19.513 2587.9 2783.0 8.6892
155 19.745 2595.2 2792.6 8.7118
160 19.976 2602.5 2802.3 8.7341
165 20.207 2609.8 2811.9 8.7562
170 20.438 2617.1 2821.5 8.7781
175 20.670 2624.5 2831.2 8.7997
180 20.901 2631.8 2840.8 8.8212
185 21.132 2639.2 2850.5 8.8424
190 21.363 2646.6 2860.2 8.8634
195 21.594 2654.0 2869.9 8.8843
200 21.826 2661.3 2879.6 8.9049
210 22.288 2676.2 2899.1 8.9456
220 22.750 2691.1 2918.6 8.9856
230 23.212 2706.0 2938.1 9.0248
240 23.674 2721.1 2957.8 9.0635
250 24.136 2736.0 2977.4 9.1015
260 24.598 2751.2 2997.2 9.1388
270 25.060 2766.4 3017.0 9.1756
280 25.522 2781.6 3036.8 9.2118
290 25.984 2797.0 3056.8 9.2475
300 26.446 2812.2 3076.7 9.2827
310 26.907 2827.7 3096.8 9.3173
320 27.369 2843.2 3116.9 9.3515
330 27.831 2858.7 3137.0 9.3852
340 28.293 2874.4 3157.3 9.4185
350 28.755 2889.9 3177.5 9.4513
360 29.216 2905.7 3197.9 9.4837
370 29.678 2921.5 3218.3 9.5157
380 30.140 2937.4 3238.8 9.5473
390 30.601 2953.3 3259.3 9.5785
400 31.063 2969.3 3279.9 9.6094
410 31.525 2985.4 3300.6 9.6398
420 31.986 3001.5 3321.4 9.6700
430 32.448 3017.7 3342.2 9.6998
440 32.910 3033.9 3363.0 9.7293
450 33.371 3050.3 3384.0 9.7584
460 33.833 3066.7 3405.0 9.7873
470 34.295 3083.2 3426.1 9.8158
480 34.756 3099.6 3447.2 9.8441
490 35.218 3116.2 3468.4 9.8721
500 35.680 3132.9 3489.7 9.8998
520 36.603 3166.5 3532.5 9.9544
540 37.526 3200.2 3575.5 10.008
560 38.449 3234.3 3618.8 10.061
580 39.372 3268.7 3662.4 10.112
600 40.296 3303.3 3706.3 10.163
620 41.219 3338.2 3750.4 10.213
640 42.142 3373.5 3794.9 10.262
660 43.065 3409.0 3839.6 10.311
680 43.988 3444.7 3884.6 10.358
700 44.911 3480.8 3929.9 10.406
720 45.834 3517.2 3975.5 10.452
740 46.758 3553.7 4021.3 10.498
760 47.681 3590.7 4067.5 10.543
780 48.604 3627.9 4113.9 10.587
800 49.527 3665.3 4160.6 10.631
820 50.450 3703.1 4207.6 10.675
840 51.373 3741.2 4254.9 10.717
860 52.296 3779.4 4302.4 10.760
880 53.219 3818.0 4350.2 10.802
900 54.142 3856.9 4398.3 10.843
920 55.065 3896.1 4446.7 10.884
940 55.989 3935.4 4495.3 10.924
960 56.912 3975.1 4544.2 10.964
980 57.835 4015.0 4593.4 11.004
1000 58.758 4055.2 4642.8 11.043
Water/Steam at p = 0.02 MPa (Tsat = 60.058)
0 0.00100020 -0.04 -0.02 -0.00015
5 0.00100007 21.02 21.04 0.07625
10 0.00100034 42.02 42.04 0.15108
15 0.00100094 62.98 63.00 0.22446
20 0.00100183 83.91 83.93 0.29648
25 0.00100300 104.82 104.84 0.36722
30 0.00100441 125.73 125.75 0.43675
35 0.00100604 146.63 146.65 0.50513
40 0.00100788 167.52 167.54 0.57240
45 0.00100992 188.42 188.44 0.63861
50 0.00101215 209.33 209.35 0.70381
55 0.00101455 230.24 230.26 0.76802
60 0.00101713 251.16 251.18 0.83129
60.058 0.00101716 251.40 251.42 0.83202
60.058 7.6480 2455.9 2608.9 7.90720
65 7.7648 2463.3 2618.6 7.9360
70 7.8826 2470.6 2628.3 7.9646
75 8.0002 2478.0 2638.0 7.9927
80 8.1176 2485.3 2647.7 8.0202
85 8.2348 2492.7 2657.4 8.0474
90 8.3518 2500.0 2667.0 8.0741
95 8.4687 2507.2 2676.6 8.1004
100 8.5855 2514.5 2686.2 8.1263
105 8.7022 2521.8 2695.8 8.1519
110 8.8187 2529.0 2705.4 8.1771
115 8.9352 2536.3 2715.0 8.2020
120 9.0516 2543.6 2724.6 8.2266
125 9.1679 2550.8 2734.2 8.2509
130 9.2841 2558.2 2743.9 8.2749
135 9.4003 2565.5 2753.5 8.2986
140 9.5164 2572.8 2763.1 8.3220
145 9.6325 2580.1 2772.7 8.3451
150 9.7486 2587.3 2782.3 8.3680
155 9.8646 2594.7 2792.0 8.3907
160 9.9805 2602.0 2801.6 8.4131
165 10.096 2609.4 2811.3 8.4352
170 10.212 2616.7 2820.9 8.4572
175 10.328 2624.0 2830.6 8.4789
180 10.444 2631.4 2840.3 8.5004
185 10.560 2638.8 2850.0 8.5216
190 10.676 2646.2 2859.7 8.5427
195 10.791 2653.6 2869.4 8.5636
200 10.907 2661.0 2879.1 8.5843
210 11.139 2675.8 2898.6 8.6250
220 11.370 2690.8 2918.2 8.6651
230 11.601 2705.8 2937.8 8.7044
240 11.833 2720.7 2957.4 8.7431
250 12.064 2735.8 2977.1 8.7811
260 12.295 2751.0 2996.9 8.8185
270 12.526 2766.2 3016.7 8.8553
280 12.757 2781.5 3036.6 8.8916
290 12.989 2796.7 3056.5 8.9273
300 13.220 2812.1 3076.5 8.9625
310 13.451 2827.5 3096.5 8.9972
320 13.682 2843.1 3116.7 9.0314
330 13.913 2858.5 3136.8 9.0651
340 14.144 2874.2 3157.1 9.0983
350 14.375 2889.9 3177.4 9.1312
360 14.606 2905.6 3197.7 9.1636
370 14.837 2921.4 3218.1 9.1956
380 15.068 2937.2 3238.6 9.2272
390 15.299 2953.2 3259.2 9.2584
400 15.530 2969.2 3279.8 9.2893
410 15.760 2985.3 3300.5 9.3198
420 15.991 3001.4 3321.2 9.3499
430 16.222 3017.6 3342.0 9.3797
440 16.453 3033.8 3362.9 9.4092
450 16.684 3050.2 3383.9 9.4384
460 16.915 3066.6 3404.9 9.4672
470 17.146 3083.0 3425.9 9.4958
480 17.377 3099.6 3447.1 9.5241
490 17.608 3116.1 3468.3 9.5520
